epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,156.869,0.46442,0.51327,0.92806,0.99676,1,0.995,0.98854,0.28027,0.40612,0.77001,0.0011948,0.0011948,0.0011948
63,159.382,0.35487,0.46842,0.86561,0.99676,1,0.995,0.98854,0.28027,0.40612,0.77001,0.0011816,0.0011816,0.0011816
64,161.927,0.43319,0.48093,0.90578,0.99667,1,0.995,0.98635,0.27636,0.38764,0.76937,0.0011684,0.0011684,0.0011684
65,164.457,0.4402,0.51986,0.94328,0.99666,1,0.995,0.995,0.24071,0.40565,0.76111,0.0011552,0.0011552,0.0011552
66,166.99,0.33845,0.43969,0.84831,0.99668,1,0.995,0.995,0.22999,0.41518,0.75855,0.001142,0.001142,0.001142
67,169.551,0.38501,0.45699,0.8701,0.99662,1,0.995,0.995,0.23957,0.41857,0.75864,0.0011288,0.0011288,0.0011288
68,172.078,0.41461,0.52281,0.92764,0.99662,1,0.995,0.995,0.23957,0.41857,0.75864,0.0011156,0.0011156,0.0011156
69,174.63,0.41895,0.47232,0.88259,0.99661,1,0.995,0.995,0.24589,0.39624,0.75957,0.0011024,0.0011024,0.0011024
70,177.203,0.3665,0.46172,0.85667,0.99666,1,0.995,0.98541,0.24893,0.39714,0.76188,0.0010892,0.0010892,0.0010892
71,179.736,0.39929,0.45318,0.8978,0.99665,1,0.995,0.995,0.23956,0.38763,0.76408,0.001076,0.001076,0.001076
72,182.291,0.43719,0.45357,0.907,0.99667,1,0.995,0.995,0.21997,0.39089,0.76245,0.0010628,0.0010628,0.0010628
73,184.85,0.39632,0.44327,0.90026,0.99667,1,0.995,0.995,0.21997,0.39089,0.76245,0.0010496,0.0010496,0.0010496
74,187.424,0.41968,0.49,0.90943,0.99674,1,0.995,0.98635,0.22013,0.39028,0.76877,0.0010364,0.0010364,0.0010364
75,190.017,0.38239,0.46811,0.89198,0.99669,1,0.995,0.98635,0.22248,0.3787,0.76796,0.0010232,0.0010232,0.0010232
76,192.584,0.36509,0.44951,0.89654,0.99664,1,0.995,0.98722,0.20948,0.36656,0.76488,0.00101,0.00101,0.00101
77,195.122,0.38941,0.44959,0.88785,0.9966,1,0.995,0.98722,0.20335,0.34458,0.76157,0.0009968,0.0009968,0.0009968
78,197.702,0.38774,0.45192,0.89535,0.9967,1,0.995,0.9801,0.19342,0.32566,0.75598,0.0009836,0.0009836,0.0009836
79,200.271,0.33661,0.41731,0.84925,0.9967,1,0.995,0.9801,0.19342,0.32566,0.75598,0.0009704,0.0009704,0.0009704
80,202.852,0.37891,0.41885,0.8897,0.9967,1,0.995,0.9801,0.21345,0.33291,0.75358,0.0009572,0.0009572,0.0009572
81,205.434,0.43945,0.46139,0.9316,0.9967,1,0.995,0.98064,0.22828,0.32396,0.75552,0.000944,0.000944,0.000944
82,207.992,0.41149,0.46595,0.91278,0.99665,1,0.995,0.995,0.21088,0.32596,0.75468,0.0009308,0.0009308,0.0009308
83,210.622,0.36282,0.42426,0.88186,0.99667,1,0.995,0.995,0.19467,0.33493,0.75567,0.0009176,0.0009176,0.0009176
84,213.203,0.44399,0.49803,0.9322,0.99667,1,0.995,0.995,0.19467,0.33493,0.75567,0.0009044,0.0009044,0.0009044
85,215.848,0.42368,0.45292,0.88967,0.99675,1,0.995,0.995,0.21949,0.35432,0.7609,0.0008912,0.0008912,0.0008912
86,218.495,0.36856,0.40404,0.88774,0.99674,1,0.995,0.995,0.21448,0.34084,0.76135,0.000878,0.000878,0.000878
87,221.146,0.35399,0.42578,0.87475,0.99669,1,0.995,0.995,0.19349,0.3146,0.75698,0.0008648,0.0008648,0.0008648
88,223.743,0.39551,0.43243,0.90588,0.99677,1,0.995,0.995,0.18696,0.29199,0.7545,0.0008516,0.0008516,0.0008516
89,226.349,0.37598,0.43387,0.89305,0.99677,1,0.995,0.995,0.18696,0.29199,0.7545,0.0008384,0.0008384,0.0008384
90,229.002,0.32289,0.40542,0.86674,0.9968,1,0.995,0.995,0.17652,0.2957,0.75812,0.0008252,0.0008252,0.0008252
91,231.66,0.37612,0.41129,0.87972,0.99669,1,0.995,0.995,0.18686,0.31625,0.75496,0.000812,0.000812,0.000812
92,234.251,0.3911,0.4043,0.89775,0.99661,1,0.995,0.98635,0.19452,0.33824,0.75603,0.0007988,0.0007988,0.0007988
93,236.896,0.34496,0.39169,0.87528,0.99663,1,0.995,0.995,0.19772,0.32562,0.75402,0.0007856,0.0007856,0.0007856
94,239.547,0.32937,0.39996,0.89146,0.99659,1,0.995,0.98856,0.2055,0.31609,0.75281,0.0007724,0.0007724,0.0007724
95,242.206,0.36804,0.39767,0.90517,0.99659,1,0.995,0.98856,0.2055,0.31609,0.75281,0.0007592,0.0007592,0.0007592
96,244.84,0.36982,0.4039,0.89109,0.99663,1,0.995,0.98902,0.20295,0.30826,0.75334,0.000746,0.000746,0.000746
97,247.441,0.32467,0.38409,0.85358,0.99667,1,0.995,0.98856,0.20119,0.29829,0.75471,0.0007328,0.0007328,0.0007328
98,250.025,0.32421,0.37032,0.86047,0.99665,1,0.995,0.98856,0.18908,0.29468,0.75614,0.0007196,0.0007196,0.0007196
99,252.628,0.34172,0.3761,0.86704,0.99665,1,0.995,0.995,0.18282,0.29663,0.75762,0.0007064,0.0007064,0.0007064
100,255.208,0.366,0.38875,0.87135,0.99665,1,0.995,0.995,0.18282,0.29663,0.75762,0.0006932,0.0006932,0.0006932
101,257.793,0.32078,0.37341,0.82728,0.99667,1,0.995,0.995,0.20145,0.30788,0.75858,0.00068,0.00068,0.00068
102,260.404,0.35709,0.39663,0.86716,0.9966,1,0.995,0.995,0.2162,0.31116,0.7581,0.0006668,0.0006668,0.0006668
103,262.959,0.32158,0.37717,0.85816,0.9966,1,0.995,0.995,0.19723,0.28925,0.75533,0.0006536,0.0006536,0.0006536
104,265.544,0.35077,0.36915,0.88844,0.99667,1,0.995,0.995,0.18249,0.28239,0.75378,0.0006404,0.0006404,0.0006404
105,268.133,0.32813,0.36296,0.8516,0.99667,1,0.995,0.995,0.18249,0.28239,0.75378,0.0006272,0.0006272,0.0006272
106,270.721,0.35457,0.38493,0.90127,0.99667,1,0.995,0.995,0.1893,0.28072,0.75077,0.000614,0.000614,0.000614
107,273.307,0.3216,0.33212,0.8504,0.9967,1,0.995,0.995,0.19479,0.28495,0.75158,0.0006008,0.0006008,0.0006008
108,275.914,0.32054,0.34325,0.8279,0.9967,1,0.995,0.995,0.1953,0.28472,0.75404,0.0005876,0.0005876,0.0005876
109,278.496,0.29076,0.32836,0.82353,0.99667,1,0.995,0.995,0.18617,0.28208,0.75218,0.0005744,0.0005744,0.0005744
110,281.061,0.34774,0.39398,0.89693,0.99668,1,0.995,0.995,0.17571,0.28792,0.75032,0.0005612,0.0005612,0.0005612
111,283.62,0.32828,0.3587,0.87314,0.99668,1,0.995,0.995,0.17571,0.28792,0.75032,0.000548,0.000548,0.000548
112,286.234,0.31185,0.35758,0.85794,0.99669,1,0.995,0.995,0.17497,0.28063,0.75042,0.0005348,0.0005348,0.0005348
113,288.837,0.32985,0.37472,0.82904,0.99672,1,0.995,0.995,0.18415,0.28121,0.75148,0.0005216,0.0005216,0.0005216
114,291.454,0.33262,0.37349,0.89337,0.99668,1,0.995,0.995,0.18717,0.28001,0.75093,0.0005084,0.0005084,0.0005084
115,294.078,0.31475,0.35525,0.85488,0.99673,1,0.995,0.995,0.17707,0.28808,0.75295,0.0004952,0.0004952,0.0004952
116,296.683,0.30499,0.34693,0.8548,0.99673,1,0.995,0.995,0.17707,0.28808,0.75295,0.000482,0.000482,0.000482
117,299.284,0.33462,0.37457,0.87446,0.99668,1,0.995,0.995,0.17321,0.29134,0.75072,0.0004688,0.0004688,0.0004688
118,301.927,0.31556,0.33222,0.84027,0.99666,1,0.995,0.995,0.17166,0.28137,0.75127,0.0004556,0.0004556,0.0004556
119,304.598,0.28366,0.32733,0.83703,0.99663,1,0.995,0.995,0.16765,0.28133,0.75082,0.0004424,0.0004424,0.0004424
120,307.233,0.27318,0.32012,0.85318,0.99658,1,0.995,0.995,0.16706,0.27959,0.75151,0.0004292,0.0004292,0.0004292
121,309.873,0.28787,0.32896,0.85136,0.99658,1,0.995,0.995,0.16706,0.27959,0.75151,0.000416,0.000416,0.000416
122,312.493,0.29883,0.3295,0.85487,0.99666,1,0.995,0.995,0.17391,0.2686,0.75197,0.0004028,0.0004028,0.0004028
123,315.117,0.33108,0.34203,0.84997,0.99668,1,0.995,0.995,0.17932,0.27462,0.75158,0.0003896,0.0003896,0.0003896
124,317.767,0.30362,0.35243,0.86445,0.99665,1,0.995,0.995,0.17502,0.28692,0.75068,0.0003764,0.0003764,0.0003764
125,320.388,0.28284,0.34839,0.85709,0.9967,1,0.995,0.995,0.16136,0.29226,0.7508,0.0003632,0.0003632,0.0003632
