epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,101.448,0.52262,0.37933,0.94365,0.87186,0.94946,0.9709,0.85729,0.46443,0.47124,0.86417,0.00187328,0.00187328,0.00187328
66,102.982,0.53015,0.38279,0.98577,0.90756,0.91342,0.96562,0.8469,0.50432,0.47353,0.93601,0.0018713,0.0018713,0.0018713
67,104.48,0.55442,0.38332,0.9425,0.97603,1,0.995,0.91207,0.46649,0.31434,0.84202,0.00186932,0.00186932,0.00186932
68,105.993,0.5284,0.38486,0.96842,0.98737,1,0.995,0.95869,0.35964,0.34235,0.79647,0.00186734,0.00186734,0.00186734
69,107.46,0.54875,0.39706,0.96385,0.93148,0.94858,0.9895,0.9447,0.38658,0.47924,0.8078,0.00186536,0.00186536,0.00186536
70,108.962,0.49678,0.36925,0.9321,0.90402,0.90698,0.95212,0.90612,0.39917,0.66055,0.81395,0.00186338,0.00186338,0.00186338
71,110.456,0.50691,0.36925,0.95221,0.97418,0.97674,0.99009,0.93074,0.38106,0.56112,0.80322,0.0018614,0.0018614,0.0018614
72,111.978,0.51733,0.37752,0.96185,0.97881,1,0.995,0.95966,0.35003,0.58716,0.79429,0.00185942,0.00185942,0.00185942
73,113.506,0.47923,0.34655,0.92799,0.95515,0.99074,0.99411,0.93689,0.33534,0.44633,0.78916,0.00185744,0.00185744,0.00185744
74,114.973,0.50734,0.36853,0.95093,0.98732,1,0.995,0.94652,0.34749,0.37745,0.78822,0.00185546,0.00185546,0.00185546
75,116.493,0.53808,0.3942,0.9552,0.9939,1,0.995,0.94587,0.36341,0.32772,0.78425,0.00185348,0.00185348,0.00185348
76,118.051,0.49825,0.35043,0.9414,0.99524,1,0.995,0.94113,0.34667,0.25387,0.78345,0.0018515,0.0018515,0.0018515
77,119.53,0.52925,0.36124,0.95911,0.99695,1,0.995,0.96158,0.29041,0.24677,0.77049,0.00184952,0.00184952,0.00184952
78,121.072,0.52764,0.37874,0.96623,0.99866,1,0.995,0.94501,0.33224,0.23816,0.78035,0.00184754,0.00184754,0.00184754
79,122.575,0.48309,0.3418,0.92772,0.99836,1,0.995,0.95968,0.30567,0.24327,0.77691,0.00184556,0.00184556,0.00184556
80,124.074,0.49505,0.36271,0.94748,0.99796,1,0.995,0.95358,0.30955,0.27118,0.77517,0.00184358,0.00184358,0.00184358
81,125.62,0.53433,0.36779,0.95026,0.99764,1,0.995,0.93983,0.35051,0.35168,0.7852,0.0018416,0.0018416,0.0018416
82,127.155,0.55308,0.37748,0.94436,0.99568,1,0.995,0.94398,0.31823,0.54392,0.77559,0.00183962,0.00183962,0.00183962
83,128.633,0.53248,0.38208,0.94889,0.99637,1,0.995,0.94685,0.34273,0.35578,0.79078,0.00183764,0.00183764,0.00183764
84,130.166,0.50365,0.35708,0.94802,0.9978,1,0.995,0.97293,0.32198,0.24875,0.77661,0.00183566,0.00183566,0.00183566
85,131.662,0.5181,0.37424,0.94576,0.99705,1,0.995,0.97518,0.30776,0.2434,0.77104,0.00183368,0.00183368,0.00183368
86,133.225,0.50348,0.35775,0.9463,0.99777,1,0.995,0.95164,0.31767,0.28389,0.78161,0.0018317,0.0018317,0.0018317
87,134.712,0.45818,0.36045,0.91784,0.99841,1,0.995,0.96016,0.31271,0.25759,0.77691,0.00182972,0.00182972,0.00182972
88,136.216,0.49361,0.3687,0.92102,0.99416,1,0.995,0.9732,0.31584,0.25819,0.77217,0.00182774,0.00182774,0.00182774
89,137.709,0.47401,0.34539,0.92344,0.95708,0.95349,0.98954,0.92787,0.36958,0.37287,0.79058,0.00182576,0.00182576,0.00182576
90,139.25,0.49881,0.35643,0.94983,0.97723,1,0.99455,0.95829,0.33291,0.2726,0.7792,0.00182378,0.00182378,0.00182378
91,140.754,0.50222,0.36062,0.96824,1,0.99777,0.995,0.96037,0.30519,0.28254,0.77463,0.0018218,0.0018218,0.0018218
92,142.287,0.53778,0.35357,0.97161,0.99842,1,0.995,0.95622,0.30672,0.30837,0.77627,0.00181982,0.00181982,0.00181982
93,143.821,0.46919,0.34039,0.93751,0.99852,1,0.995,0.95474,0.31007,0.3059,0.77592,0.00181784,0.00181784,0.00181784
94,145.346,0.46184,0.32853,0.93028,0.99722,1,0.995,0.93687,0.3412,0.27312,0.77931,0.00181586,0.00181586,0.00181586
95,146.821,0.50367,0.33706,0.94985,0.99655,1,0.995,0.93511,0.3777,0.26507,0.79028,0.00181388,0.00181388,0.00181388
96,148.36,0.49098,0.33944,0.92972,0.99536,1,0.995,0.94675,0.34489,0.24415,0.79286,0.0018119,0.0018119,0.0018119
97,149.85,0.47173,0.32522,0.93092,0.99862,1,0.995,0.96209,0.33789,0.23686,0.79307,0.00180992,0.00180992,0.00180992
98,151.379,0.51549,0.35822,0.95032,0.99574,1,0.995,0.96559,0.31889,0.2502,0.77942,0.00180794,0.00180794,0.00180794
99,152.865,0.45823,0.35925,0.92897,0.99831,1,0.995,0.94648,0.34224,0.27926,0.78696,0.00180596,0.00180596,0.00180596
100,154.377,0.49637,0.34912,0.95455,0.99845,1,0.995,0.95849,0.34872,0.26834,0.79265,0.00180398,0.00180398,0.00180398
101,155.886,0.50162,0.35326,0.93561,0.99817,1,0.995,0.95025,0.33593,0.25195,0.7799,0.001802,0.001802,0.001802
102,157.387,0.54074,0.36356,0.96995,0.99607,1,0.995,0.94456,0.32712,0.2667,0.77392,0.00180002,0.00180002,0.00180002
103,158.875,0.50889,0.34429,0.93876,0.9893,1,0.995,0.9552,0.32126,0.42322,0.77739,0.00179804,0.00179804,0.00179804
104,160.38,0.50244,0.34407,0.9565,0.99771,1,0.995,0.95448,0.32574,0.26364,0.79139,0.00179606,0.00179606,0.00179606
105,161.89,0.50479,0.33258,0.93858,0.99863,1,0.995,0.96683,0.30773,0.23031,0.77871,0.00179408,0.00179408,0.00179408
106,163.459,0.49342,0.35146,0.93938,0.99844,1,0.995,0.95222,0.35666,0.25001,0.78623,0.0017921,0.0017921,0.0017921
107,164.961,0.49223,0.34645,0.94932,0.99809,1,0.995,0.92756,0.37424,0.26311,0.79636,0.00179012,0.00179012,0.00179012
108,166.504,0.51957,0.35723,0.94061,0.99774,1,0.995,0.95001,0.37315,0.33144,0.80351,0.00178814,0.00178814,0.00178814
109,168.002,0.47514,0.33313,0.93373,0.99674,1,0.995,0.95108,0.32623,0.38205,0.78588,0.00178616,0.00178616,0.00178616
110,169.533,0.52115,0.37248,0.96105,0.99369,1,0.995,0.93142,0.34492,0.4441,0.77737,0.00178418,0.00178418,0.00178418
111,171.028,0.51358,0.37018,0.962,0.99309,1,0.995,0.9364,0.35172,0.4051,0.78149,0.0017822,0.0017822,0.0017822
112,172.53,0.48222,0.33297,0.93242,1,0.99079,0.995,0.96237,0.32967,0.40944,0.77348,0.00178022,0.00178022,0.00178022
113,174.029,0.44857,0.33795,0.9139,0.94728,1,0.99364,0.94712,0.35466,0.42735,0.78473,0.00177824,0.00177824,0.00177824
114,175.559,0.45194,0.32467,0.91367,0.96843,1,0.99455,0.93205,0.31697,0.29268,0.76987,0.00177626,0.00177626,0.00177626
115,177.052,0.4544,0.3225,0.91793,0.99849,1,0.995,0.93828,0.30694,0.24448,0.77194,0.00177428,0.00177428,0.00177428
116,178.587,0.50399,0.35208,0.93714,0.99864,1,0.995,0.94286,0.3134,0.21847,0.78426,0.0017723,0.0017723,0.0017723
117,180.071,0.4742,0.33393,0.92492,0.99861,1,0.995,0.97194,0.29517,0.22266,0.77703,0.00177032,0.00177032,0.00177032
118,181.584,0.45767,0.32077,0.93655,0.99869,1,0.995,0.95617,0.31103,0.2251,0.77302,0.00176834,0.00176834,0.00176834
119,183.116,0.42689,0.29765,0.91192,0.99872,1,0.995,0.9584,0.30159,0.22172,0.76982,0.00176636,0.00176636,0.00176636
120,184.662,0.49005,0.34104,0.95056,0.99849,1,0.995,0.94923,0.33417,0.27066,0.78178,0.00176438,0.00176438,0.00176438
121,186.149,0.46878,0.31627,0.91161,0.99788,1,0.995,0.94811,0.31969,0.26333,0.77823,0.0017624,0.0017624,0.0017624
122,187.65,0.45788,0.35269,0.94234,0.98346,1,0.995,0.94998,0.31744,0.27966,0.7797,0.00176042,0.00176042,0.00176042
123,189.106,0.45423,0.31961,0.90168,0.98726,1,0.995,0.95572,0.34654,0.28529,0.78798,0.00175844,0.00175844,0.00175844
124,190.63,0.52358,0.35864,0.98484,0.97219,1,0.995,0.95429,0.3497,0.31433,0.78731,0.00175646,0.00175646,0.00175646
125,192.148,0.48802,0.34631,0.92618,0.99335,1,0.995,0.95132,0.32649,0.24566,0.78857,0.00175448,0.00175448,0.00175448
126,193.648,0.4434,0.31651,0.91661,0.99838,1,0.995,0.96003,0.30016,0.23244,0.77977,0.0017525,0.0017525,0.0017525
127,195.149,0.45818,0.32612,0.92068,0.99845,1,0.995,0.97926,0.28964,0.22933,0.77524,0.00175052,0.00175052,0.00175052
128,196.676,0.47342,0.33402,0.93881,0.92705,0.97674,0.99173,0.95979,0.29277,0.57572,0.77256,0.00174854,0.00174854,0.00174854
129,198.175,0.50253,0.32633,0.94039,0.9346,0.99702,0.99323,0.95878,0.343,0.77948,0.79215,0.00174656,0.00174656,0.00174656
130,199.68,0.54778,0.36363,0.97434,0.99546,1,0.995,0.97129,0.33074,0.39485,0.778,0.00174458,0.00174458,0.00174458
131,201.149,0.46252,0.32386,0.92357,0.99863,1,0.995,0.95955,0.32879,0.23323,0.77444,0.0017426,0.0017426,0.0017426
132,202.683,0.465,0.32979,0.92867,0.99749,1,0.995,0.95673,0.31236,0.21472,0.77829,0.00174062,0.00174062,0.00174062
